calendar_type,date,title,status,priority,days_from_today,days_live,canonical_content_id,content_group,platforms,sales,lifetime_gross,lifetime_net,latest_7_net,mtd_net,ytd_net,net_per_day,first_offered_basis,first_offered_confidence,promo_angle,target_platforms,price_plan,price_tier,test_type,hypothesis,success_metric,notes,source
Released,2024-05-16,Your Therapist Turns You Into a Feeder Part 1,released,,-791,792,Video 0235,Video,ManyVids,1,24.98,14.99,,14.99,14.99,0.02,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2024-06-07,Teasing You in My Mini Skirt,released,,-769,770,Video 0236,Video,ManyVids,1,10.98,6.59,,,6.59,0.01,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2024-06-14,SSBBW Oiled Up Jiggling and Bouncing,released,,-762,763,Video 0238,Video,ManyVids,2,39.97,23.98,,,23.98,0.03,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2024-06-21,SSBBW Giantess Rubs Pussy on You,released,,-755,756,Video 0239,Video,ManyVids,1,14.98,8.99,,,8.99,0.01,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2024-06-25,Gaining SSBBW Makes Her Buttons Pop,released,,-751,752,Video 0240,Video,ManyVids,1,14.98,8.99,,,8.99,0.01,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2024-07-01,Stuffing and Makeout POV,released,,-745,746,Video 0241,Video,Curvage,9,252.7,187.39,,,187.39,0.25,master content release date,high,,Curvage,,,,,,,content_group_summary
Released,2024-07-04,Crawling Back to Your Fat Mistress,released,,-742,743,Video 0242,Video,ManyVids,2,25.97,15.58,,,15.58,0.02,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2024-07-10,Hotel Concierge Fucking POV,released,,-736,737,Video 0243,Video,"Clips4Sale, ManyVids",8,143.86,86.32,10.79,21.58,75.53,0.12,master content release date,high,,"Clips4Sale, ManyVids",,,,,,,content_group_summary
Released,2024-07-11,Impregnation Fantasy Chat,released,,-735,736,Video 0244,Video,Curvage,3,47.46,35.1,,9.54,35.1,0.05,master content release date,high,,Curvage,,,,,,,content_group_summary
Released,2024-07-18,Belly Worship to Keep Your Job,released,,-728,729,Video 0245,Video,"Clips4Sale, Curvage, ManyVids",5,79.93,52.35,,,42.76,0.07,master content release date,high,,"Clips4Sale, Curvage, ManyVids",,,,,,,content_group_summary
Released,2024-07-25,Anniversary Fuck POV,released,,-721,722,Video 0247,Video,ManyVids,5,99.92,59.95,,,59.95,0.08,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2024-10-25,SSBBW Girlfriend Grows into 14-foot Giantess,released,,-629,630,Video 0248,Video,Curvage,1,21.99,16.29,16.29,16.29,16.29,0.03,master content release date,high,,Curvage,,,,,,,content_group_summary
Released,2024-10-27,SSBBW Ex Wants to Get Pregnant,released,,-627,628,Video 0249,Video,ManyVids,8,111.87,67.12,8.39,8.39,67.12,0.11,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2024-10-30,Soda Chug and Burping,released,,-624,625,Video 0250,Video,Curvage,4,106.95,79.33,,18.54,79.33,0.13,master content release date,high,,Curvage,,,,,,,content_group_summary
Released,2024-11-16,Resist Temptation or Get Swallowed,released,,-607,608,Video 0252,Video,ManyVids,1,24.98,14.99,,,14.99,0.02,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2024-11-29,SSBBW Smokes After Thanksgiving Stuffing,released,,-594,595,Video 0254,Video,Curvage,6,196.43,145.74,,22.29,145.74,0.24,master content release date,high,,Curvage,,,,,,,content_group_summary
Released,2024-12-04,Worship My Sweaty Fat,released,,-589,590,Video 0255,Video,ManyVids,1,24.98,14.99,,,14.99,0.03,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2024-12-05,Mutual Gaining Fantasy,released,,-588,589,Video 0256,Video,Curvage,3,79.56,59.01,,,59.01,0.1,master content release date,high,,Curvage,,,,,,,content_group_summary
Released,2024-12-11,Cum for My Fat Part 2,released,,-582,583,Video 0257,Video,ManyVids,4,67.93,40.76,,,40.76,0.07,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2024-12-18,Measurements and Weigh-In,released,,-575,576,Video 0258,Video,Curvage,3,127.29,94.48,,,94.48,0.16,master content release date,high,,Curvage,,,,,,,content_group_summary
Released,2024-12-23,Boyfriend Gets Vored,released,,-570,571,Video 0259,Video,"Curvage, ManyVids",12,338.3,247.7,,,247.7,0.43,master content release date,high,,"Curvage, ManyVids",,,,,,,content_group_summary
Released,2025-02-17,Gaining for Daddy,released,,-514,515,Video 0260,Video,Curvage,1,19.99,14.79,,,14.79,0.03,master content release date,high,,Curvage,,,,,,,content_group_summary
Released,2025-02-20,Wife Wants to Stop Gaining the Reboot,released,,-511,512,Video 0261,Video,ManyVids,5,109.92,65.95,,26.38,65.95,0.13,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2025-02-28,Voyeur Watches Me Get Ready,released,,-503,504,Video 0262,Video,ManyVids,1,21.98,13.19,,,13.19,0.03,master content release date,high,,ManyVids,,,,,,,content_group_summary
